,clusters,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,7,0.970414393298468,0.0,3.4481554677840596e-05,3.4481554677840596e-05,3.4481554677840596e-05,0.005999790513944264,3.4481554677840596e-05,0.0,0.0,0.2413708827448842,0.0
1,7,0.9402085729724169,0.0,4.8857232018936646e-05,4.8857232018936646e-05,4.8857232018936646e-05,0.01050430488407138,9.771446403787329e-05,0.0,0.0,0.3404371927079506,0.0
2,2,0.9811130992886029,0.0,2.3724744868419086e-05,2.3724744868419086e-05,2.3724744868419086e-05,0.0978171230924919,9.489897947367634e-05,0.0,0.0,0.16687985540445985,0.0
3,7,0.904428139343379,0.0,6.120926768701806e-05,6.120926768701806e-05,6.120926768701806e-05,0.030604633843509033,6.120926768701806e-05,0.0,0.0,0.4255268289601496,0.0
4,1,0.912226432702019,0.0,3.732819513470902e-05,9.332048783677256e-06,9.332048783677256e-06,0.40407771233322515,0.00024263326837560862,0.01938266532369766,3.732819513470902e-05,0.06471775831480177,9.332048783677256e-06
5,7,0.9210663142946995,0.0,5.6094172612344674e-05,5.6094172612344674e-05,5.6094172612344674e-05,0.0,0.0,0.0,0.0,0.3894057462748967,0.0
6,5,0.9485043744697713,0.0,3.3510529752565114e-05,1.117017658418837e-05,1.117017658418837e-05,0.3069787928866648,0.0002792544146047093,0.0,0.0,0.07812421502981347,0.0
7,7,0.9228557079476076,0.0,4.4248931144400057e-05,4.4248931144400057e-05,4.4248931144400057e-05,0.2323068885081003,0.00017699572457760023,0.011062232786100015,4.4248931144400057e-05,0.3069990842798476,4.4248931144400057e-05
8,2,0.999831452400485,0.0,6.7708217714134104e-06,4.513881180942273e-06,2.2569405904711367e-06,0.003956416855095903,9.704844539025888e-05,0.008689221273313877,2.7083287085653642e-05,0.01568122322259346,2.2569405904711367e-06
9,5,0.9631531747444594,0.0,2.7555402672452585e-05,9.185134224150862e-06,9.185134224150862e-06,0.2610966254557124,0.0002571837582762241,0.010562904357773491,2.7555402672452585e-05,0.06366216530758963,9.185134224150862e-06
10,5,0.9698751698041866,0.0,4.838368560545692e-05,2.419184280272846e-05,2.419184280272846e-05,0.17606823191825774,0.0002419184280272846,0.0,0.0,0.16835103406418736,0.0
11,1,0.843372652169782,0.0,4.3688104896799796e-05,8.73762097935996e-06,8.73762097935996e-06,0.5339123299437903,0.00016601479860783923,0.0,0.0,0.060499287661088356,8.73762097935996e-06
12,5,0.9571534953858938,0.0,4.412675742869825e-05,2.2063378714349125e-05,2.2063378714349125e-05,0.24600667266499274,0.0004412675742869825,0.0,0.0,0.15276683421815335,0.0
13,2,0.9846211302894718,0.0,2.2846628078276255e-05,2.2846628078276255e-05,2.2846628078276255e-05,0.07443431427902404,0.00013707976846965753,0.0,0.0,0.15805297304551513,0.0
14,7,0.9311306357115199,0.0,5.276125542336355e-05,5.276125542336355e-05,5.276125542336355e-05,0.0,0.0,0.0,0.0,0.3646857974862889,0.0
15,6,0.4957149945249505,0.0,6.958624243199866e-05,1.7396560607999666e-05,1.7396560607999666e-05,0.8601207495807195,0.000260948409119995,0.0,0.0,0.12024502692249368,1.7396560607999666e-05
